PONUMBERPREFIX,PONUMBER,VENDORCODE,ORDERTYPE,WORKFLOWSTATUS,REENCUMBER,ACQUNITIDS,SUBSCRIPTIONFROM,SUBSCRIPTIONTO,RENEWALDATE,ACQUISITIONMETHOD,PAYMENTSTATUS,REFERENCENO,ORDERFORMAT,REQUESTOR,Z68_OPEN_DATE,Z68_ORDER_DATE,QUANTITYX,LISTUNITPRICE,Z68_ORDER_STATUS_DATE_X,Z13_TITLE,AUTHOR,Z68_ISBN,notes,checkinItems,manualPo,isSubscription,orderFormat,materialType,closeReason,closeReasonNote,paymentStatus,receiptStatus
AC,62002,ACEAST,ongoing,Pending,true,AC,20100101,20991231,0,Purchase,P,,,,20100505,20140319,1,515.00,,"Han yu da ci dian / zhu bian Luo Zhufeng ; bian zuan Han yu da ci dian bian ji wei yuan hui, Han yu",,,library note: Online subs annual access fee (AAF);; fund name: S-ELEC-2022,Independent order and receipt quantity,True,True,electronic,E-Book,,,,
AC,39155,ACYSO,ongoing,Pending,true,AC,0,0,0,Purchase,P,S1205758,,,20090122,20090122,1,34.07,,DEVELOPMENT IN THE AMERICAS.,,,library note: ACQ cat sep; fund name: F-SO-2022; vendor note: begin with 2008+,Independent order and receipt quantity,True,False,physical,Book,,,,
AC,61912,ACE,ongoing,Pending,true,AC,20100601,20991231,0,Purchase,P,RB805016801616975633,,,20100504,20100504,1,5517.35,,Nature geoscience.,,1752-0908,library note: Online; fund name: S-GEOL-2022; vendor note: changed to EBSCO 2019,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,44447,ACALEXA,ongoing,Pending,true,AC,20090101,20991231,20991231,Purchase,P,,,"Beebe, Jane A.",20090507,20090507,1,0.00,,Music online. Jazz music library.,,,library note: online; c/w Music and Dance Online; po 167746; fund name: S-ELEC-2022,Independent order and receipt quantity,True,True,electronic,Streaming Audio,,,,
AC,44452,ACALEXA,ongoing,Pending,true,AC,20090101,20991231,20991231,Purchase,P,,,"Beebe, Jane A.",20090507,20090507,1,0.00,,Music & performing arts.,,,library note: Cross searchable database; invoiced on 2 pos; see: Music online listening; & Music online reference; fund name: S-ELEC-2022,Independent order and receipt quantity,True,True,electronic,Database,,,,
AC,34000,ACOUP,ongoing,Pending,true,AC,20081001,20991231,20991231,Purchase,P,,,"GROESBECK, MARGARET",20080924,20090715,1,3939.75,,Electronic enlightenment.,,,library note: Online; fund name: S-ELEC-2022,Independent order and receipt quantity,True,True,electronic,Database,,,,
AC,29495,ACRSC,ongoing,Pending,true,AC,20080101,20991231,20991231,Purchase,P,,,,20080522,20080522,1,1542.94,,ROYAL SOCIETY OF CHEMISTRY JOURNALS ARCHIVE.,,,library note: online; Annual maintenance fee (charge based on 4 college participation); fund name: S-CHEM-2022; vendor note: TomDayRCS@aol.com  Tom Day,Independent order and receipt quantity,True,True,electronic,E-Journal Package,,,,
AC,18161,ACE,ongoing,Pending,true,AC,20070101,20991231,20991231,Purchase,P,RB805010001367877099,,,20071010,20071010,1,302.16,,"German politics and society / the Center for European Studies, Harvard University.",,1558-5441,library note: Online (2012 review); fund name: S-POLI-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,44555209,ACE,ongoing,Pending,true,AC,20010726,20991231,20991231,Purchase,P,RB805010001395492556,,,20010726,20010726,1,282.00,,History of political thought.,,2051-2988,library note: online; fund name: S-POLI-2022; vendor note: //begin 2001-,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,197430,ACMCARD,one-time,Pending,true,AC,0,0,0,Purchase,C,,,"Olshansky, Jacob H.",20211105,20211105,1,1025.00,,OPEN ACCESS FEES FOR FACULTY PUBLICATIONS.,,,order group: GROUP5; library note: Open Access fee for Mapping the Effect of Geometry; fund name: F-GEN-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
AC,29465,ACE,ongoing,Pending,true,AC,20080521,20991231,20991231,Purchase,P,RB805016801617065678,,"Kimball, Susan J.",20080522,20080522,1,4017.78,,Nature reviews. Neuroscience.,,1471-0048,library note: Online; fund name: S-NEURO-2022; vendor note: changed to EBSCO 2019,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,17281,ACM-C,ongoing,Pending,true,AC,20070924,20991231,0,Purchase,P,,,"Bosman, Anston L",20070924,20070924,1,225.00,,COLLECTED WORKS OF ERASMUS.,"Erasmus, Desiderius, -1536.",,library note: Cat Sep but  some volumes added volumes to subseries  BIB suppressed; fund name: F-SO-2022,Independent order and receipt quantity,True,False,physical,Book,,,,
AC,34006,ACE,ongoing,Pending,true,AC,20090101,20991231,20991231,Purchase,P,RB805010001789177284,,,20080925,20080925,1,18423.54,,ROYAL SOCIETY PACKAGE S.,,,"library note: Online (package S incl. 7 titles): Biol Letters; Jrnl of the RS interface, Notes & records; Phil Trans. Biol; Phil Trans Math Phys.; Proc. Biol; Proc. Math Phys.; fund name: S-ELEC-2022",Independent order and receipt quantity,True,True,electronic,E-Journal Package,,,,
AC,26844,ACE,ongoing,Pending,true,AC,20070101,20991231,20991231,Purchase,P,RB805010001245927157,,"Trumble, Paul M.",20080414,20080414,1,795.22,,Critique.,,1748-8605,library note: Online (2012 review); fund name: S-POLI-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,44288438,ACANNUALREVIEWS,ongoing,Pending,true,AC,19990901,20991231,20991231,Purchase,P,,,"Kimball, Susan J.",19990901,19990901,1,294.80,,Annual review of biophysics.,,1936-1238,library note: Online; fund name: S-CHEM-2022; vendor note: //Begin Sept. 1999- and renew,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,14826,ACMCARD,ongoing,Pending,true,AC,20070101,20991231,20991231,Purchase,P,,,"Gilpin, Heidi",20070731,20070731,1,50.35,,AA book : projects review.,,0265-4644,library note: Order direct (January 2019); fund name: S-ART-2022,Independent order and receipt quantity,True,True,physical,Serial,,,,
AC,17724,ACYSO,ongoing,Pending,true,AC,20071003,20991231,0,Purchase,P,S4178714,,"Sheridan, Susan M.",20071003,20071003,1,392.68,,CONVERSATIONS WITH FILMMAKERS SERIES.,,,fund name: F-SO-2022; vendor note: 2008+  standing order,Independent order and receipt quantity,True,False,physical,Book,,,,
AC,29487,ACREADX,ongoing,Pending,true,AC,20090601,20991231,20991231,Purchase,P,,,,20080522,20080522,1,714.82,,Foreign Broadcast Information Service (FBIS) daily reports.,,,library note: Annual maintenance fee; fund name: S-ELEC-2022,Independent order and receipt quantity,True,True,electronic,Database,,,,
AC,122834,ACFRONT,ongoing,Pending,true,AC,0,0,0,Purchase,P,,,"Beebe, Jane A.",20140815,20140815,1,514.12,,The complete works / Carl Philipp Emanuel Bach.,"Bach, Carl Philipp Emanuel, 1714-1788.",9781933280554 (ser.,fund name: F-SO-2022; vendor note: Ser. I-,Independent order and receipt quantity,True,False,physical,Book,,,,
AC,29216,ACE,ongoing,Pending,true,AC,20080101,20991231,20991231,Purchase,P,RB805010001394848024,,"Trumble, Paul M.",20080520,20080520,1,208.82,,Historical reflections = Réflexions historiques.,,1939-2419,library note: online; fund name: S-HIST-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,33483,ACYSO,ongoing,Pending,true,AC,20080101,20991231,20991231,Purchase,P,,,,20080915,20080915,1,0.00,,Cold Spring Harbor symposia on quantitative biology : [proceedings].,,1943-4456,"library note: P+O subs; print vols are cat.sep., handled in ACQ (Aleph #004473688); fund name: S-BIOL-2022",Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,29779,ACE,ongoing,Pending,true,AC,20080101,20991231,20881031,Purchase,P,RB805010001290444034,,"Trumble, Paul M.",20080529,20080529,1,318.03,,Economic and political weekly.,,,library note: Online (2012 review); fund name: S-POLI-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,29214,ACNERL,ongoing,Pending,true,AC,20080101,20991231,20991231,Purchase,P,,,"GROESBECK, MARGARET",20081015,20081015,1,2385.48,,Oxford dictionaries.,,,library note: Online; unlimited users  7/2011 NYLINK to NERL; fund name: S-REFELE-2022; vendor note: 2008+,Independent order and receipt quantity,True,True,electronic,Database,,,,
AC,28692,ACPROQU,ongoing,Pending,true,AC,0,0,0,Purchase,P,,,"Kasper, Michael",20080512,20080512,1,463.50,,African writers series.,,,library note: annual maintenance fee; fund name: S-ELEC-2022; vendor note: 2008-,Independent order and receipt quantity,True,True,electronic,Database,,,,
AC,18626,ACMWT,ongoing,Pending,true,AC,20080101,20991231,0,Purchase,P,,,"Sheridan, Susan M.",20071018,20071018,1,1154.49,,CRITERION COLLECTION [VIDEORECORDING].,,,"library note: inv note-use v.# not titles or summary;   Some titles repeated in boxed sets or as special editions with new material, keep / Eclipse subseries paid here, own checkin on po# 31868;adm#4997579; fund name: F-NONPRINT-2022; vendor note: 415+ (2007) standing order incl. Eclipse and other reboxed singles",Independent order and receipt quantity,True,False,physical,DVD/Blu-ray,,,,
AC,44118351,ACYSO,ongoing,Pending,true,AC,19950425,20991231,0,Purchase,P,S9040269,,"Clark, Carol C.",19980702,19980702,1,65.31,,STUDIES IN THE HISTORY OF ART.,,,library note: Includes: Conservation research; fund name: F-SO-2022,Independent order and receipt quantity,True,False,physical,Book,,,,
AC,33416,ACE,ongoing,Pending,true,AC,20090101,20991231,20991231,Purchase,P,RB805016801617048724,,"Kimball, Susan J.",20080910,20080910,1,5015.56,,Nature physics.,,1745-2481,library note: online; fund name: S-PHYSIC-2022; vendor note: changed to EBSCO 2019,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,44114631,ACE,ongoing,Pending,true,AC,19950928,20991231,20991231,Purchase,P,RB805010001741213037,,,19980626,19980626,1,1778.34,,Quaderni urbinati di cultura classica.,,0033-4987,library note: P+O; invoicing see online PO 44114631; fund name: S-CLASS-2022; vendor note: //Begin Nuova series v.58- and renew,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,40211,ACE,ongoing,Pending,true,AC,20090101,20991231,20991231,Purchase,P,RB805010001787128013,,,20090209,20090209,1,252.86,,Romance philology.,,2295-9017,library note: Online (2012 review); fund name: S-FREN-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,44042930,ACE,ongoing,Pending,true,AC,19990326,20991231,20991231,Purchase,P,RB805010001553618665,,,19980206,20210716,1,2093.53,,Materiali e discussioni per l'analisi dei testi classici.,,0392-6338,library note: P+O; invoicing see online PO 44042930; fund name: S-CLASS-2022; vendor note: //Begin with issues published 1998- and renew,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,44110911,ACE,ongoing,Pending,true,AC,19950927,20991231,20991231,Purchase,P,RB805010001691004005,,,19980619,19980619,1,559.85,,Philologus.,,0031-7985,library note: P+O; invoicing see online PO 44110911; fund name: S-CLASS-2022; vendor note: //Begin v.143 (1999)- and renew,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,40308,ACE,ongoing,Pending,true,AC,20080101,20991231,20991231,Purchase,P,RB805010001395125013,,,20090211,20090211,1,1093.18,,Historische Zeitschrift.,,0018-2613,library note: online; fund name: S-HIST-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,40426,ACE,ongoing,Pending,true,AC,20000101,20991231,20991231,Purchase,P,RB805010001054766000,,,20090212,20090212,1,451.69,,Anglia.,,1865-8938,library note: online; fund name: S-ENG-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
AC,145858,ACFIVEC,ongoing,Pending,true,AC,0,0,0,Purchase,P,see Acq re renewal & inv.,,"Sheridan, Susan M.",20160525,20160525,1,1081.50,,ARCHIVISION DIGITAL RESEARCH PHOTO LIBRARY [electronic resource].,ARCHIVISION INC.,,"library note: UM asks  to confirm, reply yes;invoice  from 5C May/June; Susan/Acq; fund name: E-NEHDIGITAL-2022; vendor note: Module 1 (2005)+  images loaded into ACDC;",Independent order and receipt quantity,True,True,physical,Book,,,,
